,longitude,latitude,owner
0,30.339188,59.947113,9599465@N08
1,30.339333,59.94704399999999,9599465@N08
2,30.331027000000002,59.888130000000004,9599465@N08
3,30.331208,59.888068999999994,9599465@N08
4,30.330625,59.888077,9599465@N08
5,30.339011,59.94709399999999,9599465@N08
6,30.320076,59.940788,93332534@N08
7,30.448971999999998,59.917522,139699994@N05
8,30.449371999999997,59.917522,139699994@N05
9,30.449610999999997,59.917538,139699994@N05
10,30.449438,59.91734399999999,139699994@N05
11,30.449263000000002,59.917441000000004,139699994@N05
12,30.449236,59.917530000000006,139699994@N05
13,30.449725,59.917483,139699994@N05
14,30.449438,59.917472,139699994@N05
15,30.449213,59.917513,139699994@N05
16,30.449391,59.917472,139699994@N05
17,30.449322,59.91755,139699994@N05
18,30.449308000000002,59.917469,139699994@N05
19,30.449285999999997,59.91743,139699994@N05
20,30.449202000000003,59.917480000000005,139699994@N05
21,30.448783000000002,59.917469,139699994@N05
22,30.422934,59.933951,48185104@N04
23,30.363066999999997,59.930801,146152811@N07
24,30.353121,59.991351,36948562@N07
25,30.331063,59.960537,36948562@N07
26,30.254094,59.876188,36948562@N07
27,30.255028000000003,59.878083999999994,36948562@N07
28,30.264060999999998,59.875935,36948562@N07
29,30.312827000000002,59.939491000000004,95446690@N02
30,30.329056,59.940052,13962113@N05
31,30.2858,59.923472,75010855@N03
32,30.306365000000003,59.933092,127795981@N06
33,30.328542,59.920147,50158479@N05
34,30.317802,59.934691,65805628@N05
35,30.329019,59.940549,43296902@N00
36,30.314852000000002,59.938736,157592834@N04
37,30.314969,59.93874399999999,157592834@N04
38,30.314944,59.938788,157592834@N04
39,30.31495,59.938866000000004,157592834@N04
40,30.31498,59.938841000000004,157592834@N04
41,30.315,59.939005,157592834@N04
42,30.313765999999998,59.941252,157592834@N04
43,30.315733,59.940088,157592834@N04
44,30.314163,59.940761,157592834@N04
45,30.319311,59.939811,157592834@N04
46,30.319625,59.940891,157592834@N04
47,30.322733000000003,59.939716000000004,157592834@N04
48,30.32845,59.94065500000001,157592834@N04
49,30.329005,59.940463,157592834@N04
51,30.328219,59.940963,157592834@N04
52,30.328713,59.940077,157592834@N04
53,30.328146999999998,59.94131899999999,157592834@N04
54,30.327969,59.94154399999999,157592834@N04
55,30.328305,59.940936,157592834@N04
56,30.328485999999998,59.939643999999994,157592834@N04
57,30.328111,59.939724,157592834@N04
58,30.328575,59.939747,157592834@N04
59,30.328363,59.93959399999999,157592834@N04
60,30.326721999999997,59.935568999999994,157592834@N04
61,30.326721999999997,59.93555,157592834@N04
62,30.335252,59.934008,157592834@N04
63,30.342044,59.938252,157592834@N04
64,30.339613,59.94028,157592834@N04
65,30.308125,59.93275799999999,157592834@N04
66,30.308127000000002,59.932727,157592834@N04
67,30.302260999999998,59.936602,157592834@N04
68,30.314188,59.938136,157592834@N04
69,30.314894,59.94093,157592834@N04
70,30.328977000000002,59.940811,157592834@N04
72,30.312695,59.941091,65805628@N05
73,30.352434999999996,59.943135999999996,43205617@N06
74,30.308768,59.939675,78192940@N00
75,30.274061,59.900755000000004,140264807@N07
76,30.301779999999997,59.936383,140264807@N07
77,30.348755,59.942668999999995,46560530@N05
87,30.315334000000004,59.928775,43205617@N06
88,30.303613000000002,59.94595,55459255@N04
89,30.310764000000002,59.932342000000006,127795981@N06
90,30.405702,59.947852000000005,153314440@N07
91,30.401327000000002,59.942586,70192309@N03
92,30.3007,59.934020999999994,78192940@N00
93,30.276946999999996,59.914761999999996,47765927@N06
94,30.298823,59.949979000000006,99637942@N03
95,30.35183,59.916621,55459255@N04
96,30.3319,59.934569999999994,70192309@N03
98,30.332946999999997,59.934403,145565190@N05
99,30.302366999999997,59.937063,145565190@N05
100,30.294197999999998,59.925470999999995,70192309@N03
101,30.286324,59.925753,146152811@N07
102,30.316988000000002,59.945927000000005,57445335@N00
103,30.261111,59.879918999999994,57445335@N00
105,30.3149,59.935877000000005,57445335@N00
107,30.30453,59.916902,57445335@N00
108,30.302138,59.93660799999999,57445335@N00
109,30.308047,59.93258,57445335@N00
110,30.324340999999997,59.935477,57445335@N00
111,30.324890999999997,59.951513,57445335@N00
112,30.320113,59.949916,57445335@N00
113,30.320429999999998,59.950213,57445335@N00
115,30.316565999999998,59.949766000000004,57445335@N00
