,site_id,url,deal_type,city,zip_code,post_canton,accuracy,latitude,longitude,price_unit,price,property_type,living_space,rooms,perspective,year_built,outdoor_parking,indoor_parking,balcony,property_area,fireplace,pets_allowed,floor,wheelchair_accessible,ceiling_height,lift,cable_tv,last_renovation,floor_space,cubage,minergie_certified
3870,3000364470,https://www.homegate.ch/rent/3000364470,rent,Affoltern am Albis,8910,ZH,HIGH,47.2773595,8.4493856,Month,1900.0,APARTMENT,62.0,2.5,1.0,2016.0,,1.0,1.0,,,,2,,,1.0,1.0,,,,1.0
3871,3000365276,https://www.homegate.ch/rent/3000365276,rent,Affoltern am Albis,8910,ZH,HIGH,47.2781747,8.4521467,Month,1913.0,APARTMENT,94.0,3.5,,1996.0,,,,,,1.0,3,,,1.0,1.0,,,,
3881,3000346616,https://www.homegate.ch/rent/3000346616,rent,Unterlunkhofen,8918,AG,HIGH,47.32135479999999,8.379536200000002,Month,1740.0,APARTMENT,116.0,4.5,,1996.0,,1.0,1.0,,1.0,,2,,,,1.0,,,,
3882,3000230224,https://www.homegate.ch/rent/3000230224,rent,Unterlunkhofen,8918,AG,HIGH,47.3203667,8.3793732,Month,1750.0,APARTMENT,95.0,4.5,1.0,,1.0,1.0,1.0,,1.0,,1,,,,1.0,2019.0,,,
3883,3000412910,https://www.homegate.ch/rent/3000412910,rent,Oberlunkhofen,8917,AG,HIGH,47.3147497,8.3886519,Month,1990.0,APARTMENT,120.0,4.5,1.0,1989.0,1.0,1.0,1.0,,,,1,,,,1.0,,,,
3884,3000347351,https://www.homegate.ch/rent/3000347351,rent,Oberlunkhofen,8917,AG,HIGH,47.3118911,8.3905142,Month,2025.0,APARTMENT,141.0,4.5,,1987.0,,1.0,1.0,,1.0,,3,,,,1.0,2019.0,,,
3886,3000396797,https://www.homegate.ch/rent/3000396797,rent,Jonen,8916,AG,HIGH,47.2953846,8.395024099999999,Month,1890.0,APARTMENT,116.0,4.5,,1993.0,,1.0,1.0,,,1.0,2,,,1.0,1.0,,,,
3887,3000400319,https://www.homegate.ch/rent/3000400319,rent,Jonen,8916,AG,HIGH,47.2980862,8.3935651,Month,1890.0,APARTMENT,112.0,4.5,1.0,1992.0,1.0,1.0,1.0,,,1.0,1,,,,1.0,2020.0,,,
3889,3000427251,https://www.homegate.ch/rent/3000427251,rent,Ottenbach,8913,ZH,HIGH,47.28355699999999,8.4003747,Month,1280.0,APARTMENT,80.0,1.5,,,,,,,,,,,,,,,,,
3895,3000276024,https://www.homegate.ch/rent/3000276024,rent,Affoltern am Albis,8910,ZH,HIGH,47.2827734,8.4549763,Month,1980.0,APARTMENT,110.0,3.5,1.0,1976.0,1.0,1.0,1.0,,,1.0,3,,2.5,,1.0,2010.0,110.0,,
3907,3000245401,https://www.homegate.ch/rent/3000245401,rent,Ebertswil,8925,ZH,HIGH,47.222908,8.559473,Month,2700.0,APARTMENT,129.0,4.5,1.0,2018.0,1.0,1.0,1.0,,,1.0,2,1.0,2.4,1.0,1.0,,150.0,,
3908,3000396759,https://www.homegate.ch/rent/3000396759,rent,Rottenschwil,8919,AG,HIGH,47.3169463,8.3665778,Month,1180.0,APARTMENT,,2.5,,,,,,,1.0,,1,,,,1.0,2017.0,,,
3910,3000265648,https://www.homegate.ch/rent/3000265648,rent,Unterlunkhofen,8918,AG,HIGH,47.3213461,8.3817054,Month,1750.0,APARTMENT,81.0,3.5,,1870.0,,1.0,1.0,,,1.0,Ground,,,,1.0,2014.0,,,
3911,3000424246,https://www.homegate.ch/rent/3000424246,rent,Unterlunkhofen,8918,AG,HIGH,47.3200374,8.3798929,Month,2175.0,APARTMENT,145.0,5.5,1.0,1986.0,1.0,1.0,1.0,,1.0,1.0,2,,,,,2016.0,,,
3912,3000285303,https://www.homegate.ch/rent/3000285303,rent,Oberlunkhofen,8917,AG,HIGH,47.3147636,8.388057,Month,2040.0,APARTMENT,140.0,4.5,1.0,1989.0,1.0,1.0,1.0,,1.0,,2,,,,1.0,,,,
3913,3000418505,https://www.homegate.ch/rent/3000418505,rent,Oberlunkhofen,8917,AG,HIGH,47.3115623,8.3897547,Month,2050.0,APARTMENT,110.0,3.5,1.0,2010.0,,1.0,1.0,,,,2,,,1.0,1.0,,,,
3915,3000334820,https://www.homegate.ch/rent/3000334820,rent,Bachenbülach,8184,ZH,HIGH,47.505410499999996,8.548522,Month,1889.0,APARTMENT,82.0,3.5,,1995.0,,1.0,,,,1.0,Ground,,,,1.0,,,,
3916,110151604,https://www.homegate.ch/rent/110151604,rent,Jonen,8916,AG,LOW,47.300598,8.4023513,Month,1950.0,APARTMENT,96.0,3.5,,2017.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,
3917,105973592,https://www.homegate.ch/rent/105973592,rent,Jonen,8916,AG,HIGH,47.30347860000001,8.4031845,Month,1950.0,APARTMENT,93.0,3.5,,2017.0,,1.0,1.0,,,,1,1.0,,1.0,,,,,
3922,3000153978,https://www.homegate.ch/rent/3000153978,rent,Affoltern am Albis,8910,ZH,HIGH,47.2782796,8.452492399999999,Month,2060.0,APARTMENT,106.0,4.0,,1996.0,,,,,,1.0,2,,,1.0,1.0,,,,
3923,107092405,https://www.homegate.ch/rent/107092405,rent,Affoltern am Albis,8910,ZH,HIGH,47.2782796,8.452492399999999,Month,2080.0,APARTMENT,106.0,4.0,,1996.0,,1.0,,,,1.0,2,,,1.0,1.0,,,,
3936,3000367567,https://www.homegate.ch/rent/3000367567,rent,Unterlunkhofen,8918,AG,HIGH,47.3253084,8.3789444,Month,2300.0,APARTMENT,132.0,5.5,1.0,2008.0,,,1.0,,,,1,,,1.0,,,,,
3937,3000345225,https://www.homegate.ch/rent/3000345225,rent,Unterlunkhofen,8918,AG,HIGH,47.3203516,8.3790158,Month,2750.0,APARTMENT,157.0,5.5,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
3938,3000380978,https://www.homegate.ch/rent/3000380978,rent,Berg am Irchel,8415,ZH,HIGH,47.5704461,8.598792,Month,900.0,APARTMENT,,1.5,1.0,,1.0,,,,,,Ground,,,,,2018.0,,,
3939,3000388485,https://www.homegate.ch/rent/3000388485,rent,Berg am Irchel,8415,ZH,HIGH,47.570237,8.598109599999999,Month,1250.0,APARTMENT,,3.5,,,1.0,,,,,1.0,,,,,,,,,
3940,3000348190,https://www.homegate.ch/rent/3000348190,rent,Oberlunkhofen,8917,AG,HIGH,47.3122239,8.390617299999999,Month,2120.0,APARTMENT,150.0,4.5,,1983.0,,1.0,1.0,,1.0,,3,,,1.0,1.0,2015.0,,,
3941,109599447,https://www.homegate.ch/rent/109599447,rent,Oberlunkhofen,8917,AG,HIGH,47.3147497,8.3886519,Month,2200.0,APARTMENT,132.0,4.5,1.0,1989.0,1.0,1.0,1.0,,1.0,,2,,2.45,,1.0,2015.0,140.0,,
3942,2148010313,https://www.homegate.ch/rent/2148010313,rent,Bachenbülach,8184,ZH,LOW,47.5019018,8.547677900000002,Month,2260.0,APARTMENT,128.0,5.5,,1995.0,,1.0,1.0,,1.0,1.0,2,,,,1.0,,,,
3944,3000339243,https://www.homegate.ch/rent/3000339243,rent,Jonen,8916,AG,HIGH,47.2950761,8.3953359,Month,2340.0,APARTMENT,150.0,5.5,,1993.0,,1.0,,,,1.0,3,,,1.0,,,,,
3945,3000197006,https://www.homegate.ch/rent/3000197006,rent,Jonen,8916,AG,MEDIUM,47.2941805,8.393728099999999,Month,2430.0,APARTMENT,127.0,4.5,,,,,,,,,3,,,,,,,,
3950,3000412164,https://www.homegate.ch/rent/3000412164,rent,Affoltern am Albis,8910,ZH,MEDIUM,47.2735671,8.4421372,Month,2100.0,APARTMENT,100.0,5.0,1.0,1984.0,1.0,,1.0,,,,3,,,,1.0,,,,
3951,3000288258,https://www.homegate.ch/rent/3000288258,rent,Affoltern am Albis,8910,ZH,HIGH,47.2766336,8.4560547,Month,2100.0,APARTMENT,89.0,3.5,,1980.0,1.0,1.0,,,,1.0,2,,,,1.0,2007.0,,,
3968,3000408852,https://www.homegate.ch/rent/3000408852,rent,Berg am Irchel,8415,ZH,HIGH,47.5693476,8.5952992,Month,1750.0,APARTMENT,95.0,3.5,1.0,2000.0,1.0,,1.0,,1.0,1.0,2,,2.4,,1.0,,95.0,,
3969,3000269691,https://www.homegate.ch/rent/3000269691,rent,Berg am Irchel,8415,ZH,HIGH,47.5699036,8.594567,Month,1850.0,APARTMENT,100.0,3.5,,1996.0,1.0,,1.0,,,,1,,,,1.0,2015.0,,,
3970,3000348052,https://www.homegate.ch/rent/3000348052,rent,Oberlunkhofen,8917,AG,HIGH,47.3116717,8.3895743,Month,2390.0,APARTMENT,175.0,5.5,,2011.0,1.0,1.0,1.0,,,,2,,,1.0,1.0,,,,
3971,3000391274,https://www.homegate.ch/rent/3000391274,rent,Oberlunkhofen,8917,AG,LOW,47.3113276,8.390097200000001,Month,2450.0,APARTMENT,119.0,4.5,,2015.0,,,1.0,,,,2,1.0,,1.0,,,,,
3973,3000428478,https://www.homegate.ch/rent/3000428478,rent,Bachenbülach,8184,ZH,HIGH,47.5078439,8.544418199999999,Month,990.0,APARTMENT,,2.5,1.0,,1.0,,1.0,,,,2,,,,,,35.0,,
3974,3000350012,https://www.homegate.ch/rent/3000350012,rent,Jonen,8916,AG,HIGH,47.2971746,8.3971849,Month,2480.0,APARTMENT,130.0,4.5,1.0,2010.0,,1.0,1.0,,,1.0,3,,,1.0,,,,,
3975,2147669291,https://www.homegate.ch/rent/2147669291,rent,Jonen,8916,AG,MEDIUM,47.2941805,8.393728099999999,Month,2540.0,APARTMENT,149.0,4.5,,2018.0,,1.0,1.0,,,1.0,,1.0,2.49,1.0,,,,,1.0
3981,3000323936,https://www.homegate.ch/rent/3000323936,rent,Affoltern am Albis,8910,ZH,MEDIUM,47.27724670000001,8.4495038,Month,2132.0,APARTMENT,95.0,3.5,,2017.0,,1.0,1.0,,,1.0,1,1.0,,1.0,,,,,
